DAGSETNING;HEFST;;ENDAR;NAMSGREIN;HEITI;HOPUR;STOFA;NAFN STOFU;BYGGING
20.04.2018;08:00;;20:00;L-303-SAKE;Samkeppnisréttur, BA - 2. ár;;M326;Kennslustofa;Mars, þriðja hæð
21.04.2018;08:30;;18:10;L-303-SAKE;Samkeppnisréttur, BA - 2. ár;;M326;Kennslustofa;Mars, þriðja hæð
30.04.2018;08:00;;16:00;L-834-LECL;Samspil lagalegra og hagfræðilegra sjónarmiða og viðhorfa við úrlausn samkeppnismála, ML - Alþjóðasvið;;M327;Kennslustofa;Mars, þriðja hæð
30.04.2018;09:00;;13:00;L-605-SARE;Sakamálaréttarfar, BA - 3. ár;;M325;Kennslustofa;Mars, þriðja hæð
02.05.2018;08:00;;17:00;L-731-VUTB;Verktaka- og útboðsréttur, ML;;M327;Kennslustofa;Mars, þriðja hæð
02.05.2018;08:00;;17:00;L-738-ELFS;Evrópuréttur á sviði fjármálaþjónustu, ML - Alþjóðasvið;;M111;Kennslustofa;Mars, fyrsta hæð
03.05.2018;08:00;;20:00;L-736-RETT;Réttarsálfræði, ML;;M327;Kennslustofa;Mars, þriðja hæð
04.05.2018;08:00;;17:00;L-836-CONS;Neytendaréttur, ML;;M327;Kennslustofa;Mars, þriðja hæð
07.05.2018;08:00;;18:00;L-609-ALRE;Aðferðafræði II: Lagakenningar, BA - 3. ár;;M327;Kennslustofa;Mars, þriðja hæð
07.05.2018;08:00;;20:00;L-610-VIRE;Vinnuréttur, ML;;M113;Kennslustofa;Mars, fyrsta hæð
08.05.2018;08:30;;18:10;L-609-ALRE;Aðferðafræði II: Lagakenningar, BA - 3. ár;;M327;Kennslustofa;Mars, þriðja hæð
09.05.2018;08:00;;22:00;L-830-BALA;Skuldaskilaréttur, ML;;M327;Kennslustofa;Mars, þriðja hæð
09.05.2018;08:00;;18:00;L-833-TRLA;Vörumerkjaréttur, ML - Alþjóðasvið;;M114;Kennslustofa;Mars, fyrsta hæð
11.05.2018;08:00;;18:00;L-726-KAUP;Kaup á fyrirtækjum/samruni - áreiðanleikakannanir, ML;;M327;Kennslustofa;Mars, þriðja hæð
